Frame Number,Spot Index,Spot Status,Spot Location
0,0,False,"(565.5, 115.5)"
0,1,False,"(1023.0, 127.5)"
0,2,False,"(642.5, 132.5)"
0,3,False,"(1100.0, 144.5)"
0,4,True,"(180.0, 150.5)"
0,5,False,"(336.5, 149.0)"
0,6,True,"(417.5, 149.0)"
0,7,False,"(1709.5, 163.5)"
0,8,False,"(1482.0, 166.5)"
0,9,False,"(1552.0, 165.5)"
0,10,False,"(1255.0, 168.5)"
0,11,False,"(1325.5, 168.0)"
0,12,True,"(566.0, 170.5)"
0,13,False,"(417.5, 180.0)"
0,14,False,"(871.5, 178.0)"
0,15,False,"(1024.0, 182.5)"
0,16,False,"(338.0, 181.5)"
0,17,False,"(799.0, 179.0)"
0,18,False,"(181.0, 182.5)"
0,19,False,"(643.5, 188.0)"
0,20,False,"(1709.0, 195.5)"
0,21,True,"(1101.0, 199.0)"
0,22,False,"(1552.5, 198.0)"
0,23,False,"(1482.0, 199.0)"
0,24,False,"(1255.5, 201.5)"
0,25,False,"(1326.0, 200.5)"
0,26,True,"(1807.0, 199.0)"
0,27,False,"(799.0, 207.0)"
0,28,False,"(871.5, 206.5)"
0,29,True,"(418.0, 214.0)"
0,30,False,"(338.0, 214.5)"
0,31,False,"(181.0, 216.5)"
0,32,True,"(567.5, 226.0)"
0,33,False,"(1709.5, 226.5)"
0,34,True,"(1482.5, 229.5)"
0,35,False,"(1553.0, 228.5)"
0,36,False,"(1807.0, 228.5)"
0,37,False,"(1326.0, 231.5)"
0,38,False,"(1027.5, 233.5)"
0,39,True,"(1099.5, 233.5)"
0,40,False,"(1255.5, 232.5)"
0,41,False,"(871.5, 235.5)"
0,42,False,"(799.5, 237.0)"
0,43,False,"(644.0, 237.0)"
0,44,False,"(343.0, 248.0)"
0,45,False,"(415.0, 247.5)"
0,46,False,"(182.0, 251.0)"
0,47,False,"(1709.5, 258.0)"
0,48,False,"(1482.5, 260.0)"
0,49,False,"(1553.0, 260.0)"
0,50,False,"(1807.5, 260.0)"
0,51,False,"(1326.0, 262.0)"
0,52,False,"(1255.5, 262.5)"
0,53,False,"(1028.0, 265.0)"
0,54,False,"(1099.0, 264.5)"
0,55,False,"(800.0, 268.0)"
0,56,False,"(871.5, 267.0)"
0,57,False,"(571.0, 277.5)"
0,58,False,"(641.5, 276.5)"
0,59,False,"(343.0, 281.0)"
0,60,False,"(415.0, 280.0)"
0,61,True,"(182.0, 283.5)"
0,62,True,"(1553.5, 290.5)"
0,63,False,"(1709.5, 288.5)"
0,64,False,"(1482.5, 291.0)"
0,65,False,"(1807.5, 291.0)"
0,66,False,"(1255.5, 293.5)"
0,67,False,"(1326.5, 292.5)"
0,68,True,"(1028.0, 295.5)"
0,69,False,"(1099.0, 295.0)"
0,70,False,"(800.5, 299.5)"
0,71,False,"(872.0, 298.5)"
0,72,True,"(571.5, 309.5)"
0,73,False,"(642.0, 308.0)"
0,74,False,"(415.0, 311.0)"
0,75,False,"(343.5, 312.0)"
0,76,False,"(182.5, 314.5)"
0,77,False,"(1709.5, 319.5)"
0,78,False,"(1483.5, 322.0)"
0,79,False,"(1553.5, 321.0)"
0,80,False,"(1807.5, 321.0)"
0,81,False,"(1326.5, 323.0)"
0,82,False,"(1256.5, 324.5)"
0,83,False,"(1029.0, 327.0)"
0,84,False,"(1099.5, 326.0)"
0,85,False,"(801.0, 329.5)"
0,86,False,"(872.0, 328.5)"
0,87,False,"(642.0, 339.5)"
0,88,False,"(571.5, 340.5)"
0,89,True,"(343.5, 343.0)"
0,90,False,"(415.5, 342.0)"
0,91,True,"(183.0, 345.5)"
0,92,True,"(1709.5, 351.0)"
0,93,False,"(1327.0, 354.0)"
0,94,False,"(1483.5, 353.0)"
